date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2017-11-28,11-28,0.0,0.0,0.0,0.0,0.0
2017-11-29,11-29,0.0,0.0,0.0,0.0,0.0
2017-11-30,11-30,0.0,0.0,0.0,0.0,0.0
2017-12-01,12-01,0.0,0.0,0.0,0.0,0.0
2017-12-02,12-02,0.0,0.0,0.0,0.0,0.0
2017-12-03,12-03,0.0,0.0,0.0,0.0,0.0
2017-12-04,12-04,21.0,1.0,21.0,175.0,123.28
2017-12-05,12-05,0.0,0.0,0.0,0.0,0.0
2017-12-06,12-06,0.0,0.0,0.0,0.0,0.0
2017-12-07,12-07,0.0,0.0,0.0,0.0,0.0
2017-12-08,12-08,0.0,0.0,0.0,0.0,0.0
2017-12-09,12-09,0.0,0.0,0.0,0.0,0.0
2017-12-10,12-10,0.0,0.0,0.0,0.0,0.0
2017-12-11,12-11,0.0,0.0,0.0,0.0,0.0
2017-12-12,12-12,0.0,0.0,0.0,0.0,0.0
2017-12-13,12-13,0.0,0.0,0.0,0.0,0.0
2017-12-14,12-14,0.0,0.0,0.0,0.0,0.0
2017-12-15,12-15,0.0,0.0,0.0,0.0,0.0
2017-12-16,12-16,0.0,0.0,0.0,0.0,0.0
2017-12-17,12-17,0.0,0.0,0.0,0.0,0.0
2017-12-18,12-18,0.0,0.0,0.0,0.0,0.0
2017-12-19,12-19,0.0,0.0,0.0,0.0,0.0
2017-12-20,12-20,0.0,0.0,0.0,0.0,0.0
2017-12-21,12-21,0.0,0.0,0.0,0.0,0.0
2017-12-22,12-22,0.0,0.0,0.0,0.0,0.0
2017-12-23,12-23,0.0,0.0,0.0,0.0,0.0
2017-12-24,12-24,0.0,0.0,0.0,0.0,0.0
2017-12-25,12-25,0.0,0.0,0.0,0.0,0.0
2017-12-26,12-26,0.0,0.0,0.0,0.0,0.0
2017-12-27,12-27,0.0,0.0,0.0,0.0,0.0
2017-12-28,12-28,0.0,0.0,0.0,0.0,0.0
2017-12-29,12-29,0.0,0.0,0.0,0.0,0.0
2017-12-30,12-30,0.0,0.0,0.0,0.0,0.0
2017-12-31,12-31,0.0,0.0,0.0,0.0,0.0
2018-01-01,01-01,0.0,0.0,0.0,0.0,0.0
2018-01-02,01-02,0.0,0.0,0.0,0.0,0.0
2018-01-03,01-03,0.0,0.0,0.0,0.0,0.0
2018-01-04,01-04,0.0,0.0,0.0,0.0,0.0
2018-01-05,01-05,0.0,0.0,0.0,0.0,0.0
2018-01-06,01-06,0.0,0.0,0.0,0.0,0.0
2018-01-07,01-07,0.0,0.0,0.0,0.0,0.0
2018-01-08,01-08,0.0,0.0,0.0,0.0,0.0
2018-01-09,01-09,0.0,0.0,0.0,0.0,0.0
2018-01-10,01-10,0.0,0.0,0.0,0.0,0.0
2018-01-11,01-11,0.0,0.0,0.0,0.0,0.0
2018-01-12,01-12,0.0,0.0,0.0,0.0,0.0
2018-01-13,01-13,0.0,0.0,0.0,0.0,0.0
2018-01-14,01-14,0.0,0.0,0.0,0.0,0.0
2018-01-15,01-15,0.0,0.0,0.0,0.0,0.0
2018-01-16,01-16,0.0,0.0,0.0,0.0,0.0
2018-01-17,01-17,0.0,0.0,0.0,0.0,0.0
2018-01-18,01-18,0.0,0.0,0.0,0.0,0.0
